organisation,records lost,year,month,story,sector,method,data sensitivity,1st source link
"Affinity Health Plan, Inc.",344579,2013,August,"A rented photocopier used to copy health records did not have its hard-drive wiped before its return, exposing personal data.",health,lost device,4,https://privacylaw.proskauer.com/2013/08/articles/identity-theft/a-1-2-million-photocopier-mistake-health-plan-settles-with-hhs-in-hipaa-breach-case/
Airtel,320000000,2019,May,"""Airtel, a major Indian telecom provider, faced a data breach exposing 320 million customer records due to a system vulnerability. This breach compromised personal details like names, phone numbers, email addresses, and Aadhaar card numbers.""",telecoms,poor security,5,https://techwireasia.com/12/2023/what-are-the-top-10-largest-data-breaches-of-the-decade-by-record-count/
Aimware,305470,2019,May,"Video game cheats website ""Aimware"" suffered a data breach of subscribers' personal information (email and IP addresses, usernames, forum posts, private messages, website activity and passwords stored as salted MD5 hashes)",gaming,hacked,3,https://www.goincognito.co/alert-1873451-million-breached-accounts-at-three-companies-check-your-email-now/
Air Canada,20000,2018,December,"""In 2018, Air Canada disclosed that the profile information of 20,000 of its mobile app users had been accessed by unauthorized parties. As a result of this incident, the airline, at the time, had to lockout all of its 1.7 million mobile app accounts as a safeguard.""",transport,hacked,5,https://www.bleepingcomputer.com/news/security/air-canada-discloses-data-breach-of-employee-and-certain-records/
Air India,4500000,2021,November,"Passengers name, date of birth, contact information, passport information, ticket information, frequent flyer data and credit card information.",transport,hacked,2,https://indianexpress.com/article/explained/air-india-sita-data-breach-explained-7325501/
Al.type,31000000,2017,May,The developer of the customisable keyboard app failed to secure its database server. 577GB of user records were exposed.,app,poor security,4,http://www.zdnet.com/article/popular-virtual-keyboard-leaks-31-million-user-data/
Amazon,5000000,2018,April,"A ""technical issue"" inadvertently caused customer names & email addresses to be posted to the Amazon website just prior to Black Friday.",retail,Mistake,1,https://www.theguardian.com/technology/2018/nov/21/amazon-hit-with-major-data-breach-days-before-black-friday
Amazon Reviews,13124962,2021,February ,Database exposing an organized fake reviews scam affecting Amazon. The server contained a treasure trove of direct messages between Amazon vendors and customers willing to provide fake reviews in exchange for free products,web,poor security,2,https://www.safetydetectives.com/blog/amazon-reviews-leak-report/
Ameritrade Inc.,200000,2005,January,A computer backup tape containing the personal information of customers between 2000 and 2003 was lost.,finance,lost device,2,http://www.nbcnews.com/id/7561268/
Ancestry.com,300000,2018,December,"""On December 20, an outside security researcher told the company that account information in a file on its RootsWeb server -- which hosts a free, online forum widely used by people to share genealogical information -- had been exposed. Ancestry subsequently confirmed the breach in a blog post.""",web,poor security,1,https://www.msspalert.com/news/ancestrys-rootsweb-service-breached-300000-records-exposed
Animal Jam,46000000,2020,April,"""WildWorks has learned that a database containing some Animal Jam user data was stolen in connection with a recent attack on the server of a vendor WildWorks uses for intra-company communication. A subset of the stolen records include the email addresses of the parents managing the player accounts and other data that could be used to identify the parents of Animal Jam players.""",gaming,hacked,1,https://help.animaljam.com/hc/en-us/articles/360057222054-Data-Breach-Alert
Animoto,25000000,2019,April,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
"Ankle & foot Center of Tampa Bay, Inc.",156000,2011,June,"Names, social security numbers, date of birth, home addressees, account numbers, healthcare services and diagnostics were hacked.",health,hacked,4,https://www.databreaches.net/ankle-foot-center-of-tampa-bay-breach-affecting-156000-included-social-security-numbers-as-well-as-phi/
Anthem,80000000,2015,May,"A ""sophisticated cyberattack"" on one of the USA's largest health insurers uncovered names, dates of birth, social security numbers, addresses and employment information.",health,hacked,2,https://www.nytimes.com/2015/02/05/business/hackers-breached-data-of-millions-insurer-says.html
AOL,2400000,2014,March,User accounts were compromised in order to send out spam messages.,web,hacked,1,https://www.nbcnews.com/tech/security/youve-got-hacked-aol-confirms-significant-number-mail-users-hit-n91701
AOL,20000000,2006,July,"AOL released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",web,Mistake,1,http://techcrunch.com/2006/08/06/aol-proudly-releases-massive-amounts-of-user-search-data/
AOL,92000000,2004,February ,A former America Online software engineer stole 92 million screen names and e-mail addresses and sold them to spammers who sent out up to 7 billion unsolicited e-mails.,web,inside job,1,http://money.cnn.com/2004/06/23/technology/aol_spam/
Apollo,200000000,2018,February ,"Data scraping company left a database exposed online, revealing 200 million contacts, 10 million companies and 9 billion ""data points"".",tech,poor security,1,https://www.wired.com/story/apollo-breach-linkedin-salesforce-data/
Apple,12367232,2012,July,"Millions of Apple Unique Device Identifiers (UDIDs) were leaked online. A hacking group claimed it had hacked an FBI laptop, but a software firm called BlueToad was found to be the source.",tech,Mistake,2,http://news.cnet.com/8301-1009_3-57505330-83/antisec-claims-to-have-snatched-12m-apple-device-ids-from-fbi/
Apple,275000,2013,June,"Apple's developer portal was hacked. ""Some"" information about 275,000 3rd-party developers was potentially stolen.",tech,hacked,1,http://www.guardian.co.uk/technology/2013/jul/22/apple-developer-site-hacked
Apple Health Medicaid,91000,2016,February ,"""More than 91,000 people enrolled in Washington state’s Apple Health Medicaid program are being notified that their medical records may have been handled improperly...""",health,poor security,4,https://www.seattletimes.com/seattle-news/health/91000-state-medicaid-clients-warned-of-data-breach/
Armor Games,11000000,2019,February ,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",gaming,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Artsy,1000000,2019,March,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
AshleyMadison.com,37000000,2015,June,The online hookup site for extra-marital affairs was severely breached. Personal details and company financial records were threatened with release.,web,hacked,1,http://krebsonsecurity.com/2015/07/online-cheating-site-ashleymadison-hacked/
AT&T,114000,2010,July,"Details of iPad 3G users, thought to include those of White House chief of staff Rahm Emanuel, was stolen from the AT&T website.",telecoms,hacked,1,http://www.guardian.co.uk/technology/2010/jun/10/apple-ipad-security-leak?INTCMP=SRCH
AT&T,113000,2008,February ,A laptop containing unencrypted Social Security numbers and bonus/salary info of AT&T employees was stolen from a car.,telecoms,lost device,1,https://www.networkworld.com/article/2344552/security/latest--lost--laptop-holds-treasure-trove-of-unencrypted-at-t-payroll-data.html
Auction.co.kr,18000000,2008,December,South Korea's largest online shopping site was attacked by a Chinese hacker who made off with user information and a large amount of financial data.,web,hacked,3,https://www.darkreading.com/attacks-breaches/hacker-steals-data-on-18m-auction-customers-in-south-korea/d/d-id/1129325
Australian Immigration Department,30,2015,August,An agency employee inadvertently sent the passport numbers and visa details of all world leaders attending the G20 Brisbane summit to the organisers of the Asian Cup football tournament.,government,Mistake,4,http://www.theguardian.com/world/2015/mar/30/personal-details-of-world-leaders-accidentally-revealed-by-g20-organisers
Australian National University,200000,2019,May,"A hacker accessed personal information including addresses, bank account details, payroll information and academic records. Staff, students and visitors were affected.",academic,hacked,4,https://www.theguardian.com/australia-news/2019/jun/04/australian-national-university-hit-by-huge-data-breach
Automatic Data Processing,125000,2006,May,"Automatic Data Processing, one of the world's largest payroll service companies, confirmed that it was swindled by a data thief looking for information on investors.",finance,poor security,2,http://abcnews.go.com/Technology/story?id=2160425&page=1#.UFcROxgUwaA
"AvMed, Inc.",1220000,2010,June,"Two company laptops containing names, addresses, dates of birth, Social Security numbers and health-related information were stolen from an AvMed facility in Gainesville.",health,lost device,2,https://www.databreachtoday.com/avmed-sued-over-laptop-breach-a-3111
Avvo,4101101,2019,January,"A data breach of the lawyer directory service released 4.1M unique email addresses alongside SHA-1 hashes, most likely representing user passwords.",legal,hacked,1,https://www.troyhunt.com/breach-disclosure-blow-by-blow-heres-why-its-so-hard/
Bailey's Inc.,250000,2015,August,"""Outdoor equipment retailer Bailey's Inc. notified its customers that an attacker may have stolen payment card information from the company website and that the length of the breach was longer than once thought. How many victims? 250,000. What type of information? Credit card numbers, cardholder names, CCV numbers, credit card expiration dates, addresses and phone numbers, email addresses, log in credentials to BaileysOnline.com, and other information typed into the website related to customer orders. What happened? Between Dec. 1, 2011 and Jan. 26, 2016 an attacker gained unauthorized access to customer information on BaileysOnline.com.""",retail,hacked,3,https://www.scmagazine.com/news/attacker-compromises-information-of-250k-in-baileys-data-breach
Banner Health,3700000,2016,May,"Hackers gained access to payment card data that was used to buy food and drink at Banner Health outlets. In 2019, Banner agreed to a $6m settlement over the breach.",health,hacked,3,https://www.healthcare-informatics.com/news-item/cybersecurity/breaking-massive-cyber-attack-banner-health-affects-37m-individuals
Bank of America,1200000,2005,January,"""Bank of America Corp. has lost computer data tapes containing personal information on 1.2 million federal employees, including some members of the U.S. Senate. The lost data includes Social Security numbers and account information that could make customers of a federal government charge card program vulnerable to identity theft.""",finance,lost device,3,https://www.cbsnews.com/news/bank-of-america-security-lapse/
Barnes & Noble,6300000,2012,October,"""Barnes & Noble, the country’s largest bookseller, said data thieves hacked into payment devices and may have stolen customer credit and debit card information at 63 of its stores nationwide, including 20 in California. Hackers planted bugs in a single card reader at each of the stores, the company said. Customers swipe their payment cards through the machines and, if using a debit card, enter their personal identification number. Those PINs may be at risk, along with other account information, potentially giving thieves access to customers’ private accounts.""",retail,hacked,3,https://www.latimes.com/business/la-xpm-2012-oct-25-la-fi-barnes-noble-data-theft-20121025-story.html
Bell Canada,1900000,2017,February ,Email addresses and information about customers and contractors was leaked after being stolen from an insecure database. The company was threatened with further leaks.,telecoms,hacked,1,http://www.cbc.ca/beta/news/technology/bell-data-breach-customer-names-phone-numbers-emails-leak-1.4116608
Benesse,35040000,2014,March,"""The Benesse Personal Information Leak Case is a case that 2014 July 9, was discovered on Shinkenzemi and Kodomo Challenge the largest correspondence education company that operates , involving Benesse, . Corporation 's personal information leakage incident . Up to 35.04 million pieces of customer information were leaked. """,academic,hacked,1,https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%8D%E3%83%83%E3%82%BB%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%B5%81%E5%87%BA%E4%BA%8B%E4%BB%B6
Betfair,2300000,2011,September ,"Betfair waited 18 months to report the breach of their online gambling site, alarming banking institutions and security experts. The breach involved user names, addresses and account details.",web,hacked,3,https://www-ft-com.libezproxy.open.ac.uk/content/819f5b1c-eb80-11e0-a576-00144feab49a
Bethesda Game Studios,200000,2011,October,"Hacking collective Lulzsec claimed to have stolen the account information of 200,000 users.",gaming,hacked,1,https://venturebeat.com/2011/06/13/lulzsec-bethesda-hack/
Blank Media Games,7600000,2019,October,"A hacker stole usernames, email addresses and encrypted passwords belonging to players of the game ""Town of Salem"" from an insecure server.",gaming,hacked,1,https://www.zdnet.com/article/town-of-salem-game-suffers-data-breach-exposing-7-6-million-user-details/
Blizzard,14000000,2012,September ,"Scrambled passwords, e-mail addresses, and personal security answers were stolen from Blizzard's internal network. Blizzard would not elaborate on the size of the hack (""millions"").",gaming,hacked,2,https://www.forbes.com/sites/erikkain/2012/08/09/its-official-blizzard-hacked-account-information-stolen/#6dfbcdc355d1
Blue Cross Blue Shield of Tennessee,1023209,2010,March,A thief stole 57 unencrypted hard drives from the closet of a BlueCross call center in Chattanooga.,health,lost device,2,https://www.databreaches.net/bcbs-of-tenn-breach-lessons-learned/
Blur,2400000,2019,January,"A server belonging to the password manager service contained a freely accessible file with users' email addresses, names and encrypted passwords.",tech,Mistake,1,https://www.zdnet.com/article/data-of-2-4-million-blur-password-manager-users-left-exposed-online/
BNY Mellon Shareowner Services,4500000,2008,July,An archiving vendor lost a box full of data storage tapes containing sensitive information.,finance,lost device,1,https://www.reuters.com/article/us-mellon-breach-idUSN2143343820080521
BookMate,8000000,2019,April,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Boots Advantage Card,150000,2020,September ,"Hackers accessed Advantage Card records, but no financial data was stolen. Payment using points was suspended.",retail,hacked,1,https://www.which.co.uk/news/2020/03/boots-advantage-card-tesco-clubcard-both-suffer-data-breaches-in-same-week/
Brazzers,790724,2016,May,"A vulnerability in the pornsite's forum software compromised millions of accounts, many of which had identical login details for the site itself.",web,hacked,4,https://www.vice.com/en_us/article/vv7pgd/nearly-800000-brazzers-porn-site-accounts-exposed-in-forum-hack
Brewdog,200000,2021,July,"BrewDog, one of the world's largest craft beer brewers, has exposed personally identifiable information (PII) belonging to more than 200,000 of its shareholders and customers,",retail,poor security,1,https://www.techradar.com/news/brewdog-exposes-data-of-200000-customers-and-shareholders
BriansClub,26000000,2019,June,"A site selling stolen payment card data was hacked and 26 million records were leaked. Banks were able to invalidate those cards, taking around 1/3 of the world's stolen cards out of circulation.",web,hacked,3,https://arstechnica.com/information-technology/2019/10/data-for-a-whopping-26-million-stolen-payment-cards-leaked-in-hack-of-fraud-bazaar/
British Airways,380000,2018,April,The personal and financial details of customers who booked flights in a two-week period over the summer were compromised.,transport,hacked,4,https://www.theguardian.com/business/2018/sep/06/british-airways-customer-data-stolen-from-its-website
British Airways,10000,2015,May,Hackers accessed tens of thousands of British Airways frequent-flyer accounts. The airline froze the affected accounts while it resolved the issue.,transport,hacked,1,http://www.theguardian.com/business/2015/mar/29/british-airways-frequent-flyer-accounts-hacked
Buchbinder Car Rentals,5000000,2020,August,"Correspondence, invoices and contracts containing personal details were left exposed on an unsecured company server.",transport,poor security,2,https://www.tellerreport.com/news/2020-01-22---big-data-leak--media--at-buchbinder-car-rental-company--customer-data-was-open-.BJ-S5Jk8Z8.html
Bulgarian National Revenue Agency,5000000,2019,October,"A hacker stole personal details of Bulgarian citizens from 110 government databases. 5m records, out of a total population of 7m.",government,hacked,2,https://www.zdnet.com/article/hacker-steals-data-of-millions-of-bulgarians-emails-it-to-local-media/
BMO and Simpli,90000,2009,March,"""According to the defendants, the data breaches resulted in the theft of sensitive personal information of up to 40,000 clients of Simplii Financial and up to 50,000 clients of BMO.""",government,hacked,5,https://www.siskinds.com/class-action/bmo-simplii-financial-privacy-breach/
California Department of Child Support Services,800000,2012,January,"California child support records were lost in transit during a ""disaster preparedness"" exercise.",government,lost device,2,https://www.businessinsider.com/california-child-support-data-breach-2012-4?IR=T
Call of Duty / Activision,500000,2020,August,Login data for users of the popular video games may have compromised. Activision refutes the claim.,gaming,hacked,1,https://www.forbes.com/sites/daveywinder/2020/09/21/activision-accounts-hacked-500000-call-of-duty-players-could-be-affected-report/?sh=7ca04e0f7bbe
Canva,139000000,2019,February ,"Names, email addresses and location data belonging to users of an Australian graphic design service were stolen by a hacker.",web,hacked,2,https://www.zdnet.com/article/australian-tech-unicorn-canva-suffers-security-breach/
Capital One,100000000,2019,August,"The massive data breach included personal information from credit card applications over a 14-year period. A former Amazon employee, Paige Thompson, 36, was found guilty of wire fraud.",finance,hacked,3,https://www.forbes.com/sites/rachelsandler/2019/07/29/capital-one-says-hacker-breached-accounts-of-100-million-people-ex-amazon-employee-arrested/#2a5cb36b41d2
Cardsystems Solutions Inc.,40000000,2005,January,An unauthorized entity enabled access to cusomer credit card data. It's not clear how many of the 40 million accounts were stolen.,finance,hacked,3,https://www.wired.com/2005/06/cardsystems-data-left-unsecured/
Careem,14000000,2018,May,"The Dubai-based ride hailing service admitted that names, email addresses, phone numbers and trip data had been accessed in what it called a ""cyber incident"".",app,hacked,2,https://www.khaleejtimes.com/nation/dubai//dubais-careem-admits-to-data-breach-of-14-million-users
Carefirst,1100000,2015,March,"Hackers gained access to a database belonging to the healthcare insurer, stealing names, birth dates, email addresses and insurance ID numbers.",health,hacked,1,https://krebsonsecurity.com/2015/05/carefirst-blue-cross-breach-hits-1-1m/
CarPhone Warehouse,2400000,2015,December,"The breach exposed names, addresses, birth date and bank details. Around 480,000 were TalkTalk Mobile customers; 1.9m were customers of Carphone Warehouse directly.",telecoms,hacked,3,http://www.theguardian.com/technology/2015/aug/10/carphone-warehouse-uk-data-watchdog-investigating-customer-hack
Cathay Pacific Airways,94000000,2018,December,"Stolen data included names, nationalities, birth dates, phone numbers, addresses, passport & identity card numbers & expired credit card numbers.",transport,hacked,3,https://www.abc.net.au/news/2018-10-25/cathay-pacific-data-breach-affects-9.4-million-customers/10429878
CDEK,18218203,2022,May,"UNVERIFIED. Russian courier service CDEK was hacked by Ukrainian hacker group ""IT Army"" - including 19M unique email addresses along with names and phone numbers.",retail,hacked,3,https://twitter.com/haveibeenpwned/status/1504343470072549377?lang=en
Cellebrite,3000000,2017,July,Cellebrite's main product is a device that rips data from mobile phones. 900GB of data was stolen from Cellebrite. The hackers got hacked. The number of records taken is unknown.,tech,hacked,2,https://www.vice.com/en_us/article/3daywj/hacker-steals-900-gb-of-cellebrite-data
Cense AI,2500000,2020,June,Medical records from an artificial intelligence company were left open online.,tech,poor security,4,https://uk.pcmag.com/encryption/128228/report-ai-company-leaks-over-25m-medical-records
Central Coast Credit Union,60000,2016,February ,"""A Web search on one backdoor component that the intruders appear to have dropped on the credit union’s site on Dec. 29, 2015 — a file called “sfx.php” — turns up this blog post in which Swiss systems engineer Claudio Marcel Kuenzler described his investigation of a site that was hacked through the Akeeba Backup function. “The file was uploaded with a simple GET request by using a vulnerability in the com_joomlaupdate (which is part of Akeeba Backup) component,” Kuenzler wrote, noting that there is a patch available for the vulnerability.""",finance,hacked,3,https://krebsonsecurity.com/2016/02/breached-credit-union-comes-out-of-its-shell/
Central Hudson Gas & Electric,110000,2013,December,Customer banking information and other personal information may have been accessed when systems belonging to the energy supplier were hacked.,misc,hacked,3,https://www.esecurityplanet.com/network-security/central-hudson-gas-and-electric-hacked.html
CEX,2000000,2017,June,The second-hand games seller fell victim to a security breach. An 'unauthorised third party' accessed systems holding personal information.,retail,Mistake,3,https://uk.pcmag.com/cex/90937/cex-hack-up-to-2m-customers-potentially-affected
CheckFree Corporation,5000000,2009,October,Criminals took control of the payment service's domains. They redirected traffic to a Ukrainian Web server that used malware to install a password-stealing program on the victim's computer.,finance,hacked,1,https://www.computerworld.com/article/2530152/checkfree-warns-5-million-customers-after-hack.html
CheckPeople,56000000,2020,January,"""A database comprising information over 56 million U.S. citizens was disclosed online in January 2020. It reportedly belonged to CheckPeople.com, a people search site. The 22GB database was linked to a Chinese-based IP address, and it was initiated by a white-hat hacker who transmitted the info to The Register. This massive database contained names, past and current addresses, phone numbers, email addresses, criminal records, and relatives’ names. Even though this information is accessible on CheckPeople.com, you can typically only unlock specific profiles by paying a separate fee. Since this data was exposed in a single location, malicious actors had endless opportunities to take advantage of the information that was made publicly available.""",web,unknown,2,https://datalocker.com/blog/cyberthreats/malware/biggest-data-breach-incidents/
Chile Ministry Of Education,6000000,2008,July,A computer hacker in Chile published confidential records belonging to six million people to illustrate the weakness of government security.,government,hacked,1,http://news.bbc.co.uk/2/hi/americas/7395295.stm
China Software Developer Network,6000000,2012,September ,A man surnamed Zeng was arrested on suspicion of leaking personal information belonging to users of the China Software Developer Network (CSDN).,web,hacked,1,http://www.zdnet.com/blog/security/chinese-hacker-arrested-for-leaking-6-million-logins/11064
Chinese gaming sites,10000000,2011,February ,"Several major Chinese gaming sites were hacked, breaching millions of user records.",web,hacked,1,http://www.ehackingnews.com/2011/12/hackers-compromised-38-million-chinese.html
Chinese resume leak,202000000,2018,February ,"Information thought to have been scraped from Chinese jobseeking websites was found in an insecure database. It included resumes, phone numbers, height, weight, driving license & literacy level.",web,poor security,2,https://blog.hackenproof.com/industry-news/202-million-private-resumes-exposed
Chtrbox,49000000,2019,July,"Contact details for millions of Instagram influencers, celebrities and brand accounts was left exposed in an online database for at least six days.",misc,poor security,1,https://techcrunch.com/2019/05/20/instagram-influencer-celebrity-accounts-scraped/
Citigroup,150000,2013,August,The bank failed to redact court records before they were placed on a publicly accessible system. The personal information of customers entering bankruptcy between 2007-2011 was exposed.,finance,Mistake,2,http://news.softpedia.com/news/Citi-Exposes-Details-of-150-000-Individuals-Who-Went-into-Bankruptcy-369979.shtml
Citigroup,210000,2011,March,A breach of the bank's online web portal compromised the information of around 1% of Citbank card holders.,finance,hacked,3,http://www.pcworld.com/article/229891/Citigroup_Hack_Nets_Over_200k_in_Stolen_Customer_Details.html
Citigroup,3900000,2005,August,A box of computer tapes containing information on 3.9 million customers was lost in transit to a credit reporting agency.,finance,lost device,3,http://www.nytimes.com/2005/06/07/business/07data.html?pagewanted=all&_moc.semityn.www
City and Hackney Teaching Primary Care Trust,160000,2007,August,Disks containing children's personal details were lost by couriers. It prompted the agency to introduce disk encryption.,government,lost device,2,https://www.computerweekly.com/news/2240104003/Hackney-NHS-trust-encrypts-IT-equipment-following-loss-of-child-data
"City of Amagasaki, Japan",500000,2022,Ocotober,An unnamed government official lost his bag after a night's drinking. It contained a USB stick with sensitive data of the entire city's residents. USB stick was encrypted and passworded.,government,Mistake,3,https://www.bbc.co.uk/news/world-asia-61921222
Classified Iraq War documents,392000,2010,February ,Wikileaks posted classified Iraq War documents on its website.,government,inside job,2,http://www.forbes.com/sites/andygreenberg/2010/10/22/wikileaks-reveals-the-biggest-classified-data-breach-in-history/
Clearview AI,1000000,2020,February ,"""A facial-recognition company that contracts with powerful law-enforcement agencies just reported that an intruder stole its entire client list, according to a notification the company sent to its customers.""",tech,hacked,1,https://www.thedailybeast.com/clearview-ai-facial-recognition-company-that-works-with-law-enforcement-says-entire-client-list-was-stolen
Click2Gov,300000,2018,May,Vulnerabilities in government payment software allowed hackers to access financial records and personal data across 46 US cities.,finance,hacked,3,http://fortune.com/2018/12/18/click2gov-local-government-portals-hackers-credit-card-breach/
Clinton campaign,5000000,2016,March,The computer network used by Hillary Clinton's campaign team was hacked as part of a broader cyber attack on Democratic political organizations.,government,hacked,2,http://news.trust.org/item/20160729204542-r98dj
ClixSense,6600000,2016,December,"A service which pays people to view adverts and take surveys was hacked. Stolen information included addresses, banking details and social security numbers.",web,hacked,5,http://www.digitaltrends.com/computing/clixsense-hacked/
CoffeeMeetsBagel,6000000,2019,February ,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Coinmama,450000,2019,May,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,finance,hacked,1,https://techcrunch.com/2019/02/14/hacker-strikes-again/
Colorado government,105470,2010,December,State officials discovered the unauthorized removal of a computer hard drive housed at Colorado's Office of Information Technology which contained health insurance information.,health,lost device,2,http://www.databreaches.net/?p=12611
Community Health Systems,4500000,2014,November,"The US hospital operator suffered a system breach, leaking 5 years worth of data. Details included names, addresses, social security numbers. The goal: identity theft.",health,hacked,2,http://money.cnn.com/2014/08/18/technology/security/hospital-chs-hack/
Compass Bank,1000000,2008,June,"A former employee stole a hard drive containing 1m account details between May & July 2007, then used it to defraud cutomers of nearly $32,000.",finance,inside job,3,https://www.computerworld.com/article/2536195/programmer-who-stole-drive-containing-1-million-bank-records-gets-42-months.html
Contact tracing data,38000000,2021,April,"A thousand web apps mistakenly exposed 38 million records on the open internet, including data from a number of Covid-19 contact tracing platforms, vaccination sign-ups, job application portals, and employee databases.",telecoms,hacked,3,https://www.wired.com/story/microsoft-power-apps-data-exposed/
Countrywide Financial Corp,2500000,2008,December,A senior financial analyst was sentenced to eight months in prison after pleading guilty to downloading millions of borrower files onto thumb drives & selling the information.,finance,inside job,2,https://www.networkworld.com/article/2274502/security-oversight-may-have-enabled-countrywide-breach.html
Cox Communications,40000,2016,March,"""The names, email addresses, phone numbers and other information that hackers say relate to some 40,000 Cox Communications employees have turned up on a Dark Web marketplace.""",Telecoms,hacked,2,https://www.infosecurity-magazine.com/news/cox-communications-investigates/
Court Ventures,200000000,2013,June,"A 24 year old Vietnamese national, Hieu Minh Ngo, ran an identity theft service from his bedroom. A deal he struck with Experian gave him access to the personal and financial data of American citizens.",finance,inside job,2,https://krebsonsecurity.com/2014/03/experian-lapse-allowed-id-theft-service-to-access-200-million-consumer-records/
"Crescent Health Inc., Walgreens",100000,2013,September ,"A stolen laptop exposed private data including names, social security numbers, health insurance information, birth dates, diagnoses and other medical information.",health,lost device,4,https://www.healthcareitnews.com/news/walgreens-company-announces-data-breach
CVS,3200000,2015,December,"""On August 13, 2015, investigators informed CVS that, between June 2014 and July 2015, there was an illegal intrusion into PNI's systems that host the CVSPhoto.com website. The intrusion potentially resulted in the unauthorized acquisition of data entered by certain users on CVSPhoto.com""",retail,hacked,3,https://www.doj.nh.gov/consumer/security-breaches/documents/cvs-pharmacy-20150910.pdf
"D&B, Altegrity",1000000,2013,September ,"Hackers stole millions of social security numbers from a number of large US data brokers, intending to steal identities.",tech,hacked,3,http://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/
DaFont,700000,2017,August,"The font site's database was targeted by a hacker who had seen it being traded elsewhere. The flaw was ""easy to find"". Usernames, email addresses and passwords were stolen.",web,hacked,4,http://www.zdnet.com/article/font-sharing-site-dafont-hacked-thousands-of-accounts-stolen/
Dai Nippon Printing,8637405,2007,May,A former contractor of the firm stole 8.6 million records containing the personal data of customers.,retail,inside job,1,https://www.comparebusinessproducts.com/fyi/15-most-massive-data-breaches-history
